dataset,config,dialect,n_samples,new_wer,new_norm_wer,new_cer,new_norm_cer,baseline_wer,baseline_norm_wer,baseline_cer,baseline_norm_cer
formospeech/ithuan_formosan,ami-x-skl,ami-x-skl,20,9.05,5.03,1.83,1.08,14.57,9.55,2.45,1.63
formospeech/ithuan_formosan,trv-x-tgdy,trv-x-tgdy,20,14.92,6.63,3.06,1.53,22.65,9.94,5.06,2.19
formospeech/ithuan_formosan,trv-x-truku,trv-x-truku,19,4.12,2.58,0.71,0.42,6.7,4.64,1.32,0.94
formospeech/klokah,ami-x-frng,ami-x-frng,541,6.09,4.63,1.84,1.6,11.46,5.68,2.88,1.89
formospeech/klokah,ami-x-iams,ami-x-iams,503,8.27,6.09,1.72,1.32,20.92,15.26,11.24,10.29
formospeech/klokah,ami-x-pld,ami-x-pld,488,8.19,5.49,1.57,1.07,11.87,6.9,2.31,1.33
formospeech/klokah,ami-x-pswl,ami-x-pswl,624,5.66,3.31,1.04,0.61,9.81,3.78,1.85,0.73
formospeech/klokah,ami-x-skl,ami-x-skl,547,6.87,4.65,1.5,1.06,10.53,6.09,2.23,1.36
formospeech/klokah,bnn-x-bkh,bnn-x-bkh,466,20.76,16.71,5.9,5.18,25.82,19.66,6.44,5.29
formospeech/klokah,bnn-x-bnz,bnn-x-bnz,450,10.1,7.19,2.55,2.03,27.22,21.75,4.4,3.34
formospeech/klokah,bnn-x-isbk,bnn-x-isbk,799,10.68,7.66,2.23,1.68,19.87,9.64,3.75,1.96
formospeech/klokah,bnn-x-td,bnn-x-td,514,13.76,10.77,2.83,2.31,19.74,12.8,3.71,2.48
formospeech/klokah,bnn-x-vtn,bnn-x-vtn,484,16.0,11.69,4.52,3.8,25.05,17.71,5.62,4.32
formospeech/klokah,ckv,ckv,700,7.08,4.58,1.69,1.22,13.11,5.09,2.84,1.37
formospeech/klokah,dru-x-kgdv,dru-x-kgdv,485,16.56,13.63,3.87,3.41,19.99,15.05,4.56,3.77
formospeech/klokah,dru-x-lbw,dru-x-lbw,539,12.39,9.21,3.41,2.85,16.86,10.52,4.15,3.1
formospeech/klokah,dru-x-ngdr,dru-x-ngdr,680,12.43,8.5,3.74,3.16,19.3,10.66,4.1,2.71
formospeech/klokah,dru-x-opnh,dru-x-opnh,490,16.05,12.68,3.55,3.11,20.68,15.9,4.16,3.45
formospeech/klokah,dru-x-tldr,dru-x-tldr,450,37.98,34.88,9.4,8.64,57.71,54.01,15.9,14.82
formospeech/klokah,dru-x-trmk,dru-x-trmk,520,14.73,11.61,3.12,2.57,18.34,13.06,3.86,2.94
formospeech/klokah,pwn-x-kcdsn,pwn-x-kcdsn,510,11.14,8.7,2.29,1.89,15.16,10.1,4.25,3.44
formospeech/klokah,pwn-x-pnvn,pwn-x-pnvn,514,9.7,8.1,2.09,1.8,13.54,9.35,2.9,2.13
formospeech/klokah,pwn-x-vnrn,pwn-x-vnrn,817,11.14,8.6,2.54,2.13,18.51,9.7,3.85,2.34
formospeech/klokah,pwn-x-ynvl,pwn-x-ynvl,530,13.32,11.32,3.08,2.71,16.33,12.56,3.76,3.03
formospeech/klokah,pyu-x-ksvk,pyu-x-ksvk,512,5.31,2.98,1.09,0.65,7.27,3.42,1.58,0.83
formospeech/klokah,pyu-x-ktrp,pyu-x-ktrp,565,6.17,3.49,1.27,0.79,7.83,3.97,1.56,0.85
formospeech/klokah,pyu-x-mkzy,pyu-x-mkzy,490,6.85,3.85,1.82,1.29,10.74,4.52,2.53,1.45
formospeech/klokah,pyu-x-pym,pyu-x-pym,772,3.7,2.24,0.86,0.61,15.98,8.07,3.31,1.85
formospeech/klokah,ssf,ssf,594,8.33,4.72,2.3,1.66,13.61,5.31,3.29,1.84
formospeech/klokah,sxr,sxr,702,13.88,10.34,2.11,1.63,21.19,10.88,3.1,1.75
formospeech/klokah,szy,szy,737,7.22,4.18,1.79,1.21,16.65,5.61,3.68,1.58
formospeech/klokah,tao,tao,693,12.44,9.61,3.57,3.0,16.42,10.58,4.51,3.29
formospeech/klokah,tay-x-cql,tay-x-cql,515,8.07,5.05,2.32,1.71,11.24,6.23,3.05,2.01
formospeech/klokah,tay-x-kls,tay-x-kls,540,5.45,3.03,1.8,1.29,9.71,4.43,2.73,1.65
formospeech/klokah,tay-x-mtuw,tay-x-mtuw,471,9.44,7.85,3.27,2.99,13.94,9.16,4.39,3.5
formospeech/klokah,tay-x-plngw,tay-x-plngw,521,8.43,6.35,1.96,1.52,12.98,8.15,2.97,1.98
formospeech/klokah,tay-x-sql,tay-x-sql,775,6.3,4.15,1.76,1.32,12.21,5.55,3.13,1.82
formospeech/klokah,tay-x-sul,tay-x-sul,479,6.83,3.51,1.89,1.24,10.22,4.4,2.65,1.54
formospeech/klokah,trv-x-td,trv-x-td,519,6.3,3.87,1.98,1.46,9.14,4.13,2.52,1.47
formospeech/klokah,trv-x-tgdy,trv-x-tgdy,657,8.23,4.81,2.94,2.32,15.17,4.98,4.56,2.45
formospeech/klokah,trv-x-trk,trv-x-trk,528,9.1,6.83,4.67,4.28,12.44,6.62,5.4,4.29
formospeech/klokah,trv-x-truku,trv-x-truku,670,6.24,3.8,2.33,1.86,10.72,3.89,3.15,1.8
formospeech/klokah,tsu,tsu,767,11.61,8.94,3.62,3.14,15.76,9.86,4.43,3.31
formospeech/klokah,xnb,xnb,747,8.18,3.66,1.85,1.14,15.96,5.81,3.34,1.72
formospeech/klokah,xsy,xsy,617,12.07,8.78,3.39,2.85,36.04,29.18,6.39,5.12
