dataset,config,dialect,n_samples,clean_wer,snr15db_wer,snr10db_wer,clean_norm_wer,snr15db_norm_wer,snr10db_norm_wer,clean_cer,snr15db_cer,snr10db_cer,clean_norm_cer,snr15db_norm_cer,snr10db_norm_cer
formospeech/ithuan_formosan,ami-x-skl,ami-x-skl,20,9.05,11.56,14.07,5.03,7.04,9.55,1.83,2.36,3.06,1.08,1.45,2.08
formospeech/ithuan_formosan,trv-x-tgdy,trv-x-tgdy,20,14.92,16.57,17.13,6.63,7.73,8.29,3.06,3.48,3.59,1.53,1.64,1.75
formospeech/ithuan_formosan,trv-x-truku,trv-x-truku,19,4.12,4.12,7.73,2.58,2.06,3.61,0.71,0.71,1.42,0.42,0.31,0.62
formospeech/klokah,ami-x-frng,ami-x-frng,541,6.09,9.6,11.93,4.63,7.82,10.02,1.84,2.69,3.35,1.6,2.39,3.0
formospeech/klokah,ami-x-iams,ami-x-iams,503,8.27,12.4,16.28,6.09,8.7,11.82,1.72,2.67,3.96,1.32,1.91,3.08
formospeech/klokah,ami-x-pld,ami-x-pld,488,8.19,12.94,17.29,5.49,9.18,13.38,1.57,2.6,3.88,1.07,1.86,3.09
formospeech/klokah,ami-x-pswl,ami-x-pswl,624,5.66,9.08,12.48,3.31,6.0,8.79,1.04,1.86,2.73,0.61,1.27,2.0
formospeech/klokah,ami-x-skl,ami-x-skl,547,6.87,10.36,12.68,4.65,7.79,9.68,1.5,2.35,3.19,1.06,1.85,2.53
formospeech/klokah,bnn-x-bkh,bnn-x-bkh,466,20.76,27.38,31.1,16.71,22.45,26.75,5.9,7.38,8.86,5.18,6.45,7.93
formospeech/klokah,bnn-x-bnz,bnn-x-bnz,450,10.1,15.79,20.29,7.19,12.13,16.19,2.55,3.96,5.19,2.03,3.27,4.33
formospeech/klokah,bnn-x-isbk,bnn-x-isbk,799,10.68,16.5,20.4,7.66,12.74,16.34,2.23,3.34,4.41,1.68,2.63,3.63
formospeech/klokah,bnn-x-td,bnn-x-td,514,13.76,18.38,21.09,10.77,14.31,16.75,2.83,3.76,4.51,2.31,3.06,3.71
formospeech/klokah,bnn-x-vtn,bnn-x-vtn,484,16.0,21.54,26.11,11.69,16.26,19.6,4.52,5.92,6.89,3.8,4.98,5.74
